id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,start_z,end_z,shape,size_x,size_y,system_type
co-28,Electrical Metallic Tubing (EMT),,lv-7,,,,0.00254690787,-15.37813393,-1.438197213,17.5641,-15.32233013,-1.382393412,18.6055,-15.35023203,-1.410295313,-15.35023203,-1.410295313,1.0414,18.6055,17.5641,,,,
co-29,Electrical Metallic Tubing (EMT),,lv-7,,,,0.001763131915,-16.46485547,2.0517231,17.1424981,-15.74393203,2.1075269,17.1983019,-15.74393203,2.079625,-16.46485547,2.079625,0.7209234375,17.1704,17.1704,,,,
co-30,Electrical Metallic Tubing (EMT),,lv-7,,,,0.01186486349,-16.88645737,2.473325,17.1424981,-16.83065357,7.324725,17.1983019,-16.85855547,2.473325,-16.85855547,7.324725,4.8514,17.1704,17.1704,,,,
co-31,Electrical Metallic Tubing (EMT),,lv-7,,,,0.01633748219,-16.98805737,2.473325,17.1424981,-16.93225357,9.153525,17.1983019,-16.96015547,2.473325,-16.96015547,9.153525,6.6802,17.1704,17.1704,,,,
co-32,Electrical Metallic Tubing (EMT),,lv-7,,,,0.00181530276,-16.56645547,9.5193231,17.1424981,-15.8242,9.5751269,17.1983019,-16.56645547,9.547225,-15.8242,9.547225,0.7422554688,17.1704,17.1704,,,,
co-33,Electrical Metallic Tubing (EMT),,lv-7,,,,0.001566823944,-16.46485547,7.6905231,17.1424981,-15.8242,7.7463269,17.1983019,-16.46485547,7.718425,-15.8242,7.718425,0.6406554688,17.1704,17.1704,,,,
co-34,Electrical Metallic Tubing (EMT),,lv-7,,,,0.006865007686,-8.817690962,-0.9915921875,17.1424981,-8.761887162,1.8154269,17.1983019,-8.789789062,-0.9915921875,-8.789789062,1.8154269,2.807019088,17.1704,17.1704,,,,
co-35,Electrical Metallic Tubing (EMT),,lv-7,,,,0.00254690787,-8.817690963,-1.413194088,17.5641,-8.761887162,-1.357390287,18.6055,-8.789789063,-1.385292188,-8.789789062,-1.385292188,1.0414,18.6055,17.5641,,,,
co-36,Electrical Metallic Tubing (EMT),,lv-5,,,,0.01755925059,-16.36325547,2.181225,17.1424981,-9.183489062,2.2370288,17.1983019,-9.183489062,2.2091269,-16.36325547,2.2091269,7.179766406,17.1704,17.1704,,,,
co-37,Electrical Metallic Tubing (EMT),,lv-7,,,,0.01124752457,-16.78485737,2.6028269,17.1424981,-16.72905357,7.201804438,17.1983019,-16.75695547,2.6028269,-16.75695547,7.201804438,4.598977538,17.1704,17.1704,,,,
co-38,Electrical Metallic Tubing (EMT),,lv-7,,,,0.001318345127,-16.36325547,7.567602538,17.1424981,-15.8242,7.623406338,17.1983019,-16.36325547,7.595504438,-15.8242,7.595504438,0.5390554687,17.1704,17.1704,,,,
co-39,Electrical Metallic Tubing (EMT),,lv-7,,,,0.0003174650609,16.65542684,-0.6886829954,18.9554231,16.79668831,-0.5840757087,19.0112269,16.78511821,-0.6632930591,16.66699694,-0.609465645,0.1298076457,18.983325,18.983325,,,,
co-40,Electrical Metallic Tubing (EMT),,lv-7,,,,0.0004203755925,10.72080558,-1.144499983,18.9554231,10.90035763,-1.022443823,19.0112269,10.88878753,-1.119110047,10.73237568,-1.047833759,0.1718865245,18.983325,18.983325,,,,
co-41,Electrical Metallic Tubing (EMT),,lv-7,,,,0.0004680602259,5.71218058,-0.2100312829,18.9554231,5.909474958,-0.07989001054,19.0112269,5.89790486,-0.1846413466,5.723750678,-0.1052799469,0.1913841977,18.983325,18.983325,,,,
co-42,Electrical Metallic Tubing (EMT),,lv-7,,,,0.0004203660986,-9.185586088,-1.29802679,18.9554231,-9.006037571,-1.175972239,19.0112269,-9.017607669,-1.272636853,-9.17401599,-1.201362175,0.1718826426,18.983325,18.983325,,,,
co-43,Electrical Metallic Tubing (EMT),,lv-7,,,,0.0003889441114,-15.73433342,-1.32305446,18.9554231,-15.56647629,-1.206327627,19.0112269,-15.57804638,-1.297664523,-15.72276332,-1.231717563,0.1590345699,18.983325,18.983325,,,,
co-44,Electrical Metallic Tubing (EMT),,lv-7,,,,0.0002743524202,-22.2734947,-1.338427843,18.9554231,-22.14827443,-1.24113047,19.0112269,-22.15984453,-1.313037907,-22.2619246,-1.266520406,0.1121794054,18.983325,18.983325,,,,
co-45,Electrical Metallic Tubing (EMT),,lv-7,,,,0.0004131420797,-29.03732479,-1.29429813,18.9554231,-28.86046416,-1.17346844,19.0112269,-28.87203425,-1.268908194,-29.02575469,-1.198858376,0.1689288281,18.983325,18.983325,,,,
co-46,Electrical Metallic Tubing (EMT),,lv-7,,,,0.006120198859,16.98505789,-0.3822488147,17.1424981,17.04086169,2.1202269,17.1983019,17.01295979,-0.3822488147,17.01295979,2.1202269,2.502475715,17.1704,17.1704,,,,
co-47,Electrical Metallic Tubing (EMT),,lv-7,,,,0.00254690787,16.98505789,-0.8038507147,17.5641,17.04086169,-0.7480469147,18.6055,17.01295979,-0.7759488147,17.01295979,-0.7759488147,1.0414,18.6055,17.5641,,,,
co-48,Electrical Metallic Tubing (EMT),,lv-5,,,,0.07991850408,-16.05845547,2.486025,17.1424981,16.61925979,2.5418288,17.1983019,-16.05845547,2.5139269,16.61925979,2.5139269,32.67771526,17.1704,17.1704,,,,
co-49,Electrical Metallic Tubing (EMT),,lv-7,,,,0.006986269639,11.08872306,-0.8379747417,17.1424981,11.14452686,2.0186269,17.1983019,11.11662496,-0.8379747417,11.11662496,2.0186269,2.856601642,17.1704,17.1704,,,,
co-50,Electrical Metallic Tubing (EMT),,lv-7,,,,0.00254690787,11.08872306,-1.259576642,17.5641,11.14452686,-1.203772842,18.6055,11.11662496,-1.231674742,11.11662496,-1.231674742,1.0414,18.6055,17.5641,,,,
co-51,Electrical Metallic Tubing (EMT),,lv-5,,,,0.06574656657,-16.16005547,2.384425,17.1424981,10.72292496,2.4402288,17.1983019,-16.16005547,2.4123269,10.72292496,2.4123269,26.88298043,17.1704,17.1704,,,,
co-52,Electrical Metallic Tubing (EMT),,lv-7,,,,0.004452530739,6.097764506,0.096440625,17.1424981,6.153568306,1.9170269,17.1983019,6.125666406,0.096440625,6.125666406,1.9170269,1.820586275,17.1704,17.1704,,,,
co-53,Electrical Metallic Tubing (EMT),,lv-7,,,,0.00254690787,6.097764506,-0.325161275,17.5641,6.153568306,-0.269357475,18.6055,6.125666406,-0.297259375,6.125666406,-0.297259375,1.0414,18.6055,17.5641,,,,
co-54,Electrical Metallic Tubing (EMT),,lv-5,,,,0.05378886944,-16.26165547,2.282825,17.1424981,5.731966406,2.3386288,17.1983019,-16.26165547,2.3107269,5.731966406,2.3107269,21.99362188,17.1704,17.1704,,,,
co-55,Electrical Metallic Tubing (EMT),,lv-7,,,,0.008450102486,-16.68325737,2.7044269,17.1424981,-16.62745357,6.15957219,17.1983019,-16.65535547,2.7044269,-16.65535547,6.15957219,3.45514529,17.1704,17.1704,,,,
co-56,Electrical Metallic Tubing (EMT),,lv-7,,,,0.007953144853,-16.58165737,2.8060269,17.1424981,-16.52585357,6.05797219,17.1983019,-16.55375547,2.8060269,-16.55375547,6.05797219,3.25194529,17.1704,17.1704,,,,
co-57,Electrical Metallic Tubing (EMT),,lv-7,,,,0.00745618722,-16.48005737,2.9076269,17.1424981,-16.42425357,5.95637219,17.1983019,-16.45215547,2.9076269,-16.45215547,5.95637219,3.04874529,17.1704,17.1704,,,,
co-58,Electrical Metallic Tubing (EMT),,lv-7,,,,0.0005729086776,-16.05845547,6.32217029,17.1424981,-15.8242,6.37797409,17.1983019,-16.05845547,6.35007219,-15.8242,6.35007219,0.2342554688,17.1704,17.1704,,,,
co-59,Electrical Metallic Tubing (EMT),,lv-7,,,,0.0008213874942,-16.16005547,6.42377029,17.1424981,-15.8242,6.47957409,17.1983019,-16.16005547,6.45167219,-15.8242,6.45167219,0.3358554688,17.1704,17.1704,,,,
co-60,Electrical Metallic Tubing (EMT),,lv-7,,,,0.001069866311,-16.26165547,6.52537029,17.1424981,-15.8242,6.58117409,17.1983019,-16.26165547,6.55327219,-15.8242,6.55327219,0.4374554688,17.1704,17.1704,,,,
co-61,Electrical Metallic Tubing (EMT),,lv-7,,,,0.001118154674,-15.5981019,10.0939981,17.4752,-15.5422981,10.1498019,17.9324,-15.5702,10.1219,-15.5702,10.1219,0.4572,17.9324,17.4752,,,,
co-62,Electrical Metallic Tubing (EMT),,lv-7,,,,0.001118154674,-15.5981019,9.1795981,17.4752,-15.5422981,9.2354019,17.9324,-15.5702,9.2075,-15.5702,9.2075,0.4572,17.4752,17.9324,,,,
co-63,Electrical Metallic Tubing (EMT),,lv-7,,,,0.001118154674,-15.5981019,7.3507981,17.4752,-15.5422981,7.4066019,17.9324,-15.5702,7.3787,-15.5702,7.3787,0.4572,17.4752,17.9324,,,,
co-64,Electrical Metallic Tubing (EMT),,lv-7,,,,0.001118154674,-15.5981019,6.4363981,17.4752,-15.5422981,6.4922019,17.9324,-15.5702,6.4643,-15.5702,6.4643,0.4572,17.4752,17.9324,,,,
co-65,Electrical Metallic Tubing (EMT),,lv-7,,,,0.002079432223,-28.67205737,-0.987821875,17.1424981,-28.61625357,-0.1375670453,17.1983019,-28.64415547,-0.987821875,-28.64415547,-0.1375670453,0.8502548297,17.1704,17.1704,,,,
co-66,Electrical Metallic Tubing (EMT),,lv-7,,,,5.821663455E-05,-28.67205737,0.7500979591,16.8376981,-28.61625357,0.7739020409,16.8935019,-28.64415547,0.7739020409,-28.64415547,0.7500979591,0.02380408178,16.8656,16.8656,,,,
co-67,Electrical Metallic Tubing (EMT),,lv-7,,,,0.002187171085,-21.95990893,-1.031875,17.1424981,-21.90410513,-0.1375670453,17.1983019,-21.93200703,-1.031875,-21.93200703,-0.1375670453,0.8943079547,17.1704,17.1704,,,,
co-68,Electrical Metallic Tubing (EMT),,lv-7,,,,5.821663455E-05,-21.95990893,0.7500979591,16.8376981,-21.90410513,0.7739020409,16.8935019,-21.93200703,0.7739020409,-21.93200703,0.7500979591,0.02380408178,16.8656,16.8656,,,,
co-69,Electrical Metallic Tubing (EMT),,lv-7,,,,0.0006110820014,-21.95990893,0.1841201858,16.93137023,-21.90410513,0.4284107281,17.10462977,-21.93200703,0.1980711358,-21.93200703,0.4144597781,0.2498640818,17.08046602,16.95553398,,,,
co-70,Electrical Metallic Tubing (EMT),,lv-7,,,,0.0006110820014,-21.95990893,1.095589272,16.93137023,-21.90410513,1.339879814,17.10462977,-21.93200703,1.325928864,-21.93200703,1.109540222,0.2498640818,17.08046602,16.95553398,,,,
co-71,Electrical Metallic Tubing (EMT),,lv-7,,,,0.0006110820014,-28.67205737,0.1841201858,16.93137023,-28.61625357,0.4284107281,17.10462977,-28.64415547,0.1980711358,-28.64415547,0.4144597781,0.2498640818,17.08046602,16.95553398,,,,
co-72,Electrical Metallic Tubing (EMT),,lv-7,,,,0.0006110820014,-28.67205737,1.095589272,16.93137023,-28.61625357,1.339879814,17.10462977,-28.64415547,1.325928864,-28.64415547,1.109540222,0.2498640818,17.08046602,16.95553398,,,,
co-73,Electrical Metallic Tubing (EMT),,lv-7,,,,0.0021498022,-15.37813393,-1.016595313,17.1424981,-15.32233013,-0.1375670453,17.1983019,-15.35023203,-1.016595313,-15.35023203,-0.1375670453,0.8790282672,17.1704,17.1704,,,,
co-74,Electrical Metallic Tubing (EMT),,lv-7,,,,5.821663455E-05,-15.37813393,0.7500979591,16.8376981,-15.32233013,0.7739020409,16.8935019,-15.35023203,0.7739020409,-15.35023203,0.7500979591,0.02380408178,16.8656,16.8656,,,,
co-75,Electrical Metallic Tubing (EMT),,lv-7,,,,0.0006110820014,-15.37813393,0.1841201858,16.93137023,-15.32233013,0.4284107281,17.10462977,-15.35023203,0.1980711358,-15.35023203,0.4144597781,0.2498640818,17.08046602,16.95553398,,,,
co-76,Electrical Metallic Tubing (EMT),,lv-7,,,,0.0006110820014,-15.37813393,1.095589272,16.93137023,-15.32233013,1.339879814,17.10462977,-15.35023203,1.325928864,-15.35023203,1.109540222,0.2498640818,17.08046602,16.95553398,,,,
co-77,Electrical Metallic Tubing (EMT),,lv-3,,,,0.03485821949,5.027215625,2.1818981,9.1160981,19.28032239,2.2377019,9.1719019,5.027215625,2.2098,19.28032239,2.2098,14.25310676,9.144,9.144,,,,
co-78,Electrical Metallic Tubing (EMT),,lv-3,,,,0.001029942331,4.605613725,1.394968967,9.1160981,4.661417525,1.8161,9.1719019,4.633515625,1.8161,4.633515625,1.394968967,0.4211310334,9.144,9.144,,,,
co-79,Electrical Metallic Tubing (EMT),,lv-3,,,,0.003571882988,4.605613725,-0.6756019,7.2898,4.661417525,-0.6197981,8.7503,4.633515625,-0.6477,4.633515625,-0.6477,1.4605,7.2898,8.7503,,,,
co-80,Electrical Metallic Tubing (EMT),,lv-3,,,,0.06732911093,-8.249741406,2.3342981,9.0144981,19.28032239,2.3901019,9.0703019,-8.249741406,2.3622,19.28032239,2.3622,27.53006379,9.0424,9.0424,,,,
co-81,Electrical Metallic Tubing (EMT),,lv-3,,,,0.002313958979,-8.671343306,2.7559,9.0144981,-8.615539506,3.70205,9.0703019,-8.643441406,3.70205,-8.643441406,2.7559,0.94615,9.0424,9.0424,,,,
co-82,Electrical Metallic Tubing (EMT),,lv-3,,,,0.003323404171,-8.671343306,4.0678481,7.2898,-8.615539506,4.1236519,8.6487,-8.643441406,4.09575,-8.643441406,4.09575,1.3589,7.2898,8.6487,,,,
co-83,Electrical Metallic Tubing (EMT),,lv-3,,,,0.001312658322,-11.44212612,1.431769798,9.1160981,-11.38632232,1.9685,9.1719019,-11.41422422,1.431769798,-11.41422422,1.9685,0.5367302024,9.144,9.144,,,,
co-84,Electrical Metallic Tubing (EMT),,lv-3,,,,0.003571882988,-11.44212612,-0.6756019,7.2898,-11.38632232,-0.6197981,8.7503,-11.41422422,-0.6477,-11.41422422,-0.6477,1.4605,7.2898,8.7503,,,,
co-85,Electrical Metallic Tubing (EMT),,lv-3,,,,0.003031328231,17.16799732,-0.8184769,7.2898,17.22380112,-0.7626731,8.52927366,17.19589922,-0.790575,17.19589922,-0.790575,1.23947366,7.2898,8.52927366,,,,
co-86,Electrical Metallic Tubing (EMT),,lv-3,,,,0.003230224615,-13.9201144,5.086030913,7.3279,-13.8643106,5.141834713,8.6487,-13.8922125,5.113932813,-13.8922125,5.113932813,1.3208,7.3279,8.6487,,,,
co-87,Electrical Metallic Tubing (EMT),,lv-3,,,,0.08058650004,-13.67052838,2.1818981,9.0144981,19.28032239,2.2377019,9.0703019,-13.67052838,2.2098,19.28032239,2.2098,32.95085077,9.0424,9.0424,,,,
co-88,Electrical Metallic Tubing (EMT),,lv-3,,,,0.08246465928,-14.43848511,2.0294981,9.0144981,19.28032239,2.0853019,9.0703019,19.28032239,2.0574,-14.43848511,2.0574,33.7188075,9.0424,9.0424,,,,
co-89,Electrical Metallic Tubing (EMT),,lv-3,,,,0.00211753508,-15.10197844,3.881787445,9.0144981,-14.8383679,4.735403247,9.0703019,-15.07490535,4.728653166,-14.86544099,3.888537525,0.8658346298,9.0424,9.0424,,,,
co-90,Electrical Metallic Tubing (EMT),,lv-3,,,,0.003230224615,-15.1980519,5.082756694,7.3279,-15.1422481,5.138560494,8.6487,-15.17015,5.110658594,-15.17015,5.110658594,1.3208,7.3279,8.6487,,,,
co-91,Electrical Metallic Tubing (EMT),,lv-3,,,,0.00285307998,-14.86008701,2.4511,9.0144981,-14.80428321,3.617690094,9.0703019,-14.83218511,2.4511,-14.83218511,3.617690094,1.166590094,9.0424,9.0424,,,,
co-92,Electrical Metallic Tubing (EMT),,lv-3,,,,0.001148834377,-14.06962608,4.2587608,9.0144981,-13.93309978,4.731059114,9.0703019,-13.96057779,4.726214,-14.04214807,4.263605914,0.4697445614,9.0424,9.0424,,,,
co-93,Electrical Metallic Tubing (EMT),,lv-3,,,,0.003442817842,-14.09213028,2.6035,9.0144981,-14.03632648,4.011226814,9.0703019,-14.06422838,4.011226814,-14.06422838,2.6035,1.407726814,9.0424,9.0424,,,,
co-94,Electrical Metallic Tubing (EMT),,lv-3,,,,0.00270220713,15.9486981,4.0678481,5.5245,16.0045019,4.1236519,6.6294,15.9766,4.09575,15.9766,4.09575,1.1049,6.6294,5.5245,,,,
co-95,Electrical Metallic Tubing (EMT),,lv-2,,,,0.001513353996,16.3703,2.3628731,5.1028981,16.98909225,2.4186769,5.1587019,16.3703,2.390775,16.98909225,2.390775,0.6187922502,5.1308,5.1308,,,,
co-96,Electrical Metallic Tubing (EMT),,lv-2,,,,0.002244074312,15.9486981,2.784475,5.1028981,16.0045019,3.70205,5.1587019,15.9766,3.70205,15.9766,2.784475,0.917575,5.1308,5.1308,,,,
co-97,Electrical Metallic Tubing (EMT),,lv-3,,,,0.0741054971,-11.02052422,2.3342981,9.1160981,19.28032239,2.3901019,9.1719019,-11.02052422,2.3622,19.28032239,2.3622,30.3008466,9.144,9.144,,,,
co-98,Electrical Metallic Tubing (EMT),,lv-2,,,,0.06835415565,-10.9601,1.9342481,4.9758981,16.98909225,1.9900519,5.0317019,16.98909225,1.96215,-10.9601,1.96215,27.94919225,5.0038,5.0038,,,,
co-99,Electrical Metallic Tubing (EMT),,lv-3,,,,0.001125908669,17.16799732,1.203329485,9.1160981,17.22380112,1.6637,9.1719019,17.19589922,1.6637,17.19589922,1.203329485,0.4603705151,9.144,9.144,,,,
co-100,Electrical Metallic Tubing (EMT),,lv-3,,,,0.004134930037,17.58959922,2.0294981,9.1160981,19.28032239,2.0853019,9.1719019,17.58959922,2.0574,19.28032239,2.0574,1.690723167,9.144,9.144,,,,
co-101,Electrical Metallic Tubing (EMT),,lv-3,,,,0.01292089846,19.44053433,-0.3726630325,-1.1684,19.49633813,-0.3168592325,4.1148,19.46843623,-0.3447611325,19.46843623,-0.3447611325,5.2832,-1.1684,4.1148,,,,
co-102,Electrical Metallic Tubing (EMT),,lv-3,,,,0.01292089846,19.44053433,-0.2202630325,-1.1684,19.49633813,-0.1644592325,4.1148,19.46843623,-0.1923611325,19.46843623,-0.1923611325,5.2832,-1.1684,4.1148,,,,
co-103,Electrical Metallic Tubing (EMT),,lv-3,,,,0.01292089846,19.44053433,-0.06786303252,-1.1684,19.49633813,-0.01205923252,4.1148,19.46843623,-0.03996113252,19.46843623,-0.03996113252,5.2832,-1.1684,4.1148,,,,
co-104,Electrical Metallic Tubing (EMT),,lv-3,,,,0.01292089846,19.44053433,0.08453696748,-1.1684,19.49633813,0.1403407675,4.1148,19.46843623,0.1124388675,19.46843623,0.1124388675,5.2832,-1.1684,4.1148,,,,
co-105,Electrical Metallic Tubing (EMT),,lv-3,,,,0.01292089846,19.44053433,0.2369369675,-1.1684,19.49633813,0.2927407675,4.1148,19.46843623,0.2648388675,19.46843623,0.2648388675,5.2832,-1.1684,4.1148,,,,
co-106,Electrical Metallic Tubing (EMT),,lv-3,,,,0.01292089846,19.44053433,0.3893369675,-1.1684,19.49633813,0.4451407675,4.1148,19.46843623,0.4172388675,19.46843623,0.4172388675,5.2832,-1.1684,4.1148,,,,
co-107,Electrical Metallic Tubing (EMT),,lv-3,,,,0.01292089846,19.59293433,-0.3726630325,-1.1684,19.64873813,-0.3168592325,4.1148,19.62083623,-0.3447611325,19.62083623,-0.3447611325,5.2832,-1.1684,4.1148,,,,
co-108,Electrical Metallic Tubing (EMT),,lv-3,,,,0.01292089846,19.59293433,-0.2202630325,-1.1684,19.64873813,-0.1644592325,4.1148,19.62083623,-0.1923611325,19.62083623,-0.1923611325,5.2832,-1.1684,4.1148,,,,
co-109,Electrical Metallic Tubing (EMT),,lv-3,,,,0.01292089846,19.59293433,-0.06786303252,-1.1684,19.64873813,-0.01205923252,4.1148,19.62083623,-0.03996113252,19.62083623,-0.03996113252,5.2832,-1.1684,4.1148,,,,
co-110,Electrical Metallic Tubing (EMT),,lv-3,,,,0.01292089846,19.59293433,0.08453696748,-1.1684,19.64873813,0.1403407675,4.1148,19.62083623,0.1124388675,19.62083623,0.1124388675,5.2832,-1.1684,4.1148,,,,
co-111,Electrical Metallic Tubing (EMT),,lv-3,,,,0.01292089846,19.59293433,0.2369369675,-1.1684,19.64873813,0.2927407675,4.1148,19.62083623,0.2648388675,19.62083623,0.2648388675,5.2832,-1.1684,4.1148,,,,
co-112,Electrical Metallic Tubing (EMT),,lv-3,,,,0.01292089846,19.59293433,0.3893369675,-1.1684,19.64873813,0.4451407675,4.1148,19.62083623,0.4172388675,19.62083623,0.4172388675,5.2832,-1.1684,4.1148,,,,
co-113,Electrical Metallic Tubing (EMT),,lv-4,,,,0.0009717203246,17.15658716,1.171125245,13.1800981,17.21239096,1.56845,13.2359019,17.18448906,1.56845,17.18448906,1.171125245,0.3973247553,13.208,13.208,,,,
co-114,Electrical Metallic Tubing (EMT),,lv-4,,,,0.003059395429,17.15658716,-0.8184769,11.3538,17.21239096,-0.7626731,12.60475,17.18448906,-0.790575,17.18448906,-0.790575,1.25095,11.3538,12.60475,,,,
co-115,Electrical Metallic Tubing (EMT),,lv-4,,,,0.004162835373,17.57818906,1.9342481,13.1800981,19.28032239,1.9900519,13.2359019,17.57818906,1.96215,19.28032239,1.96215,1.702133324,13.208,13.208,,,,
